Metabolite	HMDB_ID	Alt_name	Alt_source_HMDB	Protein_interactions
inosine	HMDB0000195	Inosine		ADA;ADAT1;CECR1;NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3;NT5E;NT5M;PNP;SLC29A4;XDH
kynurenine	HMDB0000684	L-Kynurenine		AADAT;AFMID;CCBL1;CCBL2;GOT2;KMO;KYNU
lactate	HMDB0000190	L-Lactic acid		LDHA;LDHAL6A;LDHAL6B;LDHB;LDHC
lactose	HMDB0000186	Alpha-Lactose		B4GALT1;B4GALT2;GLB1;GLTP;LALBA;LCT
malate	HMDB0031518	D-Malic acid		
NAD	HMDB0000902	NAD		AASDH;AASDHPPT;AASS;ACADS;ADCY1;ADCY2;ADCY3;ADCY4;ADCY5;ADCY6;ADCY7;ADCY8;ADCY9;ADH1A;ADH1B;ADH1C;ADH4;ADH5;ADH6;ADH7;AFMID;AHCY;AHCYL1;AHCYL2;AKR1A1;AKR1B1;AKR1B10;AKR1C1;AKR1C2;AKR1C3;AKR1C4;ALDH1A1;ALDH1A2;ALDH1A3;ALDH1B1;ALDH2;ALDH3A1;ALDH3A2;ALDH3B1;ALDH3B2;ALDH4A1;ALDH5A1;ALDH6A1;ALDH7A1;ALDH8A1;ALDH9A1;AMT;ART1;ART3;ART4;ART5;ASPDH;BDH1;BDH2;BLVRA;BLVRB;BST1;C5orf4;CD38;CRYL1;CTBP1;CYB5R1;CYB5R2;CYB5R3;CYB5R4;CYB5RL;CYP4A11;CYP4A22;DHCR7;DHFR;DHFRL1;DHPS;DLAT;DLD;DUOX1;DUOX2;DYR;EHHADH;ENOX1;ENOX2;ENPP1;ENPP3;FDFT1;FOXO4;GALE;GAPDH;GAPDHS;GCSH;GLUD1;GLUD2;GMDS;GPD1;GPD1L;GRHPR;GSR;H6PD;HADH;HADHA;HIBADH;HPGD;HSD11B1;HSD11B2;HSD17B1;HSD17B10;HSD17B11;HSD17B12;HSD17B14;HSD17B2;HSD17B4;HSD17B6;HSD17B7;HSD17B8;HSD3B1;HSD3B2;HSD3B7;IDH3A;IDH3B;IDH3G;IMPDH1;IMPDH2;ISYNA1;KMO;KYNU;LDHA;LDHAL6A;LDHAL6B;LDHB;LDHC;MDH1;MDH2;ME1;ME2;ME3;MSMO1;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MTHFD1;MTHFD2;MTHFD2L;MTHFR;MTMR1;MTMR2;MTMR6;MTMR7;NADK;NADKD1;NADSYN1;NAMPT;NAPRT1;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB7;NDUFB9;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NMNAT1;NMNAT2;NMNAT3;NMRK1;NMRK2;NNT;NQO1;NQO2;NSDHL;NUDT12;NUDT7;NXN;OGDH;OGDHL;PARP1;PARP10;PARP11;PARP12;PARP14;PARP15;PARP16;PARP2;PARP3;PARP4;PARP6;PARP8;PARP9;PDHA1;PDHA2;PDHB;PHGDH;PHPT1;PRODH;PTGR1;PTGR2;PYCR1;PYCR2;PYCRL;QDPR;QPRT;RDH16;RDH5;RETSAT;SC5DL;SCCPDH;SDR16C5;SIRT1;SIRT2;SIRT3;SIRT4;SIRT5;SIRT6;SIRT7;SLC25A1;SORD;STEAP1;STEAP2;STEAP3;STEAP4;TGDS;TIPARP;TNKS;TNKS2;TRPM2;TRPT1;TYR;UGDH;UROC1;UXS1;XDH
NADP	HMDB0000217	NADP		AASDH;AASDHPPT;AASS;ADH1A;ADH1B;ADH1C;ADH5;ADH6;ADH7;AFMID;AKR1A1;AKR1B1;AKR1B10;AKR1C1;AKR1C2;AKR1C3;AKR1C4;AKR1D1;AKR1E2;AKR7A2;ALDH18A1;ALDH1A3;ALDH1B1;ALDH1L1;ALDH1L2;ALDH2;ALDH3A1;ALDH3A2;ALDH3B1;ALDH3B2;ALDH4A1;ALDH6A1;ALDH7A1;ALDH8A1;ALDH9A1;ART1;ART3;ART4;ART5;ASPDH;BLVRA;BLVRB;BST1;C5orf4;CAT;CBR1;CBR3;CD38;COQ7;CRYZ;CYP17A1;CYP19A1;CYP1A1;CYP1A2;CYP1B1;CYP21A2;CYP24A1;CYP27A1;CYP27B1;CYP2A13;CYP2A6;CYP2A7;CYP2B6;CYP2C18;CYP2C19;CYP2C8;CYP2C9;CYP2D6;CYP2E1;CYP2F1;CYP2J2;CYP2R1;CYP2S1;CYP39A1;CYP3A4;CYP3A43;CYP3A5;CYP3A7;CYP46A1;CYP4A11;CYP4A22;CYP4B1;CYP4F11;CYP4F2;CYP4F22;CYP4F3;CYP4F8;CYP4X1;CYP4Z1;CYP51A1;CYP7A1;CYP7B1;CYP8B1;DCXR;DECR1;DECR2;DHCR24;DHCR7;DHDH;DHFR;DHFRL1;DHRS3;DHRS4;DHRS9;DKFZp686B0215;DPYD;DYR;FAR1;FAR2;FASN;FDFT1;FDXR;FMO1;FMO2;FMO3;FMO4;FMO5;FMO6P;G6PD;GAPDH;GAPDHS;GLUD1;GLUD2;GMDS;GMPR;GMPR2;GRHPR;GSR;H6PD;HMGCR;HSD11B1;HSD11B2;HSD17B1;HSD17B12;HSD17B2;HSD17B3;HSD17B6;HSD17B7;HSD17B8;HSD3B2;IDH1;IDH2;IYD;KCNAB2;KDSR;KMO;ME1;ME2;ME3;MECR;MICAL1;MICAL2;MICAL3;MSMO1;MTHFD1;MTHFD1L;MTHFD2;MTHFR;MTMR1;MTMR2;MTMR6;MTMR7;MTRR;NADK;NADKD1;NDOR1;NNT;NOS1;NOS2;NOS3;NOX1;NQO1;NSDHL;NUDT7;PECR;PGD;PHPT1;POR;PTGR1;PTGR2;PYCR1;PYCR2;PYCRL;QDPR;RDH10;RDH11;RDH5;RDH8;RETSAT;SC5DL;SIRT6;SPR;SQLE;SRD5A1;SRD5A2;SRD5A3;TECR;TM7SF2;TSTA3;TXNDC2;TXNRD1;TXNRD2;TXNRD3
oxalate	HMDB0002329	Oxalic acid		SLCO2B1;SRC
pantothenate	HMDB0000210	Pantothenic acid		PANK1;PANK2;PANK3;PANK4;VNN1;VNN2;VNN3
PEP	HMDB0000263	Phosphoenolpyruvic acid		ENO1;ENO2;ENO3;NANS;PCK1;PCK2;PFKL;PFKM;PFKP;PKLR;PKM;SLCO2A1
