Metabolite	HMDB_ID	Alt_name	Alt_source_HMDB	Protein_interactions
C36:4 PC-B	HMDBCOMB030	C36:4 PC-B	HMDB0007889;HMDB0007982;HMDB0007983;HMDB0008013;HMDB0008014;HMDB0008042;HMDB0008073;HMDB0008074;HMDB0008106;HMDB0008107;HMDB0008138;HMDB0008169;HMDB0008170;HMDB0008194;HMDB0008195;HMDB0008202;HMDB0008203;HMDB0008227;HMDB0008228;HMDB0008234;HMDB0008259;HMDB0008365;HMDB0008398;HMDB0008429;HMDB0008455;HMDB0008462;HMDB0008488;HMDB0008623;HMDB0011221;HMDB0011247;HMDB0011278;HMDB0011279;HMDB0011311;HMDB0011312;HMDB0013407;HMDB0013435	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C36:3 PC	HMDBCOMB031	C36:3 PC	HMDB0007921;HMDB0007980;HMDB0007981;HMDB0008012;HMDB0008040;HMDB0008041;HMDB0008072;HMDB0008105;HMDB0008136;HMDB0008137;HMDB0008161;HMDB0008162;HMDB0008168;HMDB0008193;HMDB0008201;HMDB0008226;HMDB0008332;HMDB0008364;HMDB0008390;HMDB0008397;HMDB0008422;HMDB0008591;HMDB0011218;HMDB0011219;HMDB0011245;HMDB0011246;HMDB0011277;HMDB0011310;HMDB0013425;HMDB0013429	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C36:2 PC	HMDBCOMB032	C36:2 PC	HMDB0000593;HMDB0007888;HMDB0007920;HMDB0007979;HMDB0008011;HMDB0008039;HMDB0008070;HMDB0008071;HMDB0008095;HMDB0008096;HMDB0008103;HMDB0008128;HMDB0008129;HMDB0008135;HMDB0008160;HMDB0008299;HMDB0008331;HMDB0008357;HMDB0008559;HMDB0008590;HMDB0011217;HMDB0011244;HMDB0011275;HMDB0011276;HMDB0011300;HMDB0011301;HMDB0011308;HMDB0011309;HMDB0011333;HMDB0011334;HMDB0013418;HMDB0013428	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C36:1 PC	HMDBCOMB033	C36:1 PC	HMDB0007887;HMDB0007919;HMDB0007978;HMDB0008010;HMDB0008037;HMDB0008038;HMDB0008062;HMDB0008063;HMDB0008069;HMDB0008094;HMDB0008102;HMDB0008127;HMDB0008266;HMDB0008298;HMDB0008324;HMDB0008526;HMDB0008558;HMDB0011216;HMDB0011242;HMDB0011243;HMDB0011267;HMDB0011268;HMDB0011274;HMDB0011299;HMDB0011307;HMDB0011332;HMDB0013414;HMDB0013427	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C38:6 PC	HMDBCOMB034	C38:6 PC	HMDB0007991;HMDB0008022;HMDB0008024;HMDB0008083;HMDB0008116;HMDB0008147;HMDB0008148;HMDB0008178;HMDB0008179;HMDB0008211;HMDB0008212;HMDB0008243;HMDB0008339;HMDB0008370;HMDB0008371;HMDB0008403;HMDB0008404;HMDB0008434;HMDB0008467;HMDB0008498;HMDB0008499;HMDB0008523;HMDB0008524;HMDB0008660;HMDB0008693;HMDB0008725;HMDB0008751;HMDB0011229;HMDB0011288;HMDB0011321;HMDB0013409	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C38:5 PC	HMDBCOMB035	C38:5 PC	HMDB0007989;HMDB0007990;HMDB0008021;HMDB0008050;HMDB0008081;HMDB0008082;HMDB0008114;HMDB0008115;HMDB0008139;HMDB0008146;HMDB0008177;HMDB0008210;HMDB0008242;HMDB0008306;HMDB0008337;HMDB0008338;HMDB0008369;HMDB0008402;HMDB0008432;HMDB0008433;HMDB0008457;HMDB0008458;HMDB0008465;HMDB0008466;HMDB0008490;HMDB0008491;HMDB0008497;HMDB0008522;HMDB0008627;HMDB0008659;HMDB0008685;HMDB0008692;HMDB0008718;HMDB0011227;HMDB0011255;HMDB0011286;HMDB0011287;HMDB0011319;HMDB0011320;HMDB0013432	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C38:4 PC	HMDBCOMB036	C38:4 PC	HMDB0007988;HMDB0008048;HMDB0008049;HMDB0008079;HMDB0008080;HMDB0008112;HMDB0008113;HMDB0008145;HMDB0008176;HMDB0008209;HMDB0008241;HMDB0008273;HMDB0008304;HMDB0008305;HMDB0008336;HMDB0008367;HMDB0008368;HMDB0008392;HMDB0008393;HMDB0008400;HMDB0008401;HMDB0008424;HMDB0008425;HMDB0008431;HMDB0008456;HMDB0008464;HMDB0008489;HMDB0008626;HMDB0008652;HMDB0011226;HMDB0011253;HMDB0011254;HMDB0011284;HMDB0011285;HMDB0011317;HMDB0011318;HMDB0013420	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C38:2 PC	HMDBCOMB037	C38:2 PC	HMDB0007927;HMDB0007987;HMDB0008019;HMDB0008045;HMDB0008077;HMDB0008110;HMDB0008143;HMDB0008270;HMDB0008301;HMDB0008302;HMDB0008326;HMDB0008327;HMDB0008333;HMDB0008358;HMDB0008562;HMDB0008593;HMDB0008619;HMDB0008789;HMDB0011225;HMDB0011250;HMDB0011282;HMDB0011315;HMDB0013431;HMDB0013436	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C40:6 PC	HMDBCOMB038	C40:6 PC	HMDB0008057;HMDB0008088;HMDB0008089;HMDB0008121;HMDB0008122;HMDB0008153;HMDB0008251;HMDB0008314;HMDB0008345;HMDB0008346;HMDB0008376;HMDB0008377;HMDB0008408;HMDB0008409;HMDB0008440;HMDB0008473;HMDB0008505;HMDB0008601;HMDB0008631;HMDB0008662;HMDB0008663;HMDB0008687;HMDB0008688;HMDB0008695;HMDB0008696;HMDB0008720;HMDB0008721;HMDB0008727;HMDB0008752;HMDB0011262;HMDB0011293;HMDB0011294;HMDB0011326;HMDB0011327;HMDB0013422	ABCB4;APOA5;ARFGAP1;ATP10A;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B1;ATP8B2;ATP8B3;ATP8B4;ATP9A;BDH1;CEPT1;CHKA;CHPT1;CLC;LCAT;LPCAT1;LPCAT2;LPCAT3;LRAT;LYPLA1;LYPLA2;MOGAT2;PCTP;PCYT1A;PCYT1B;PEBP1;PEBP4;PEMT;PITPNA;PITPNB;PITPNM1;PITPNM2;PITPNM3;PLA2G10;PLA2G12A;PLA2G12B;PLA2G15;PLA2G1B;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G3;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLA2G5;PLA2G6;PLB1;PLCD3;PLD1;PLD2;PLD3;PLD4;PLD6;PLSCR1;PLSCR2;PLSCR3;PLSCR4;PLSCR5;PLTP;PNPLA6;PTDSS1;SCGB1A1;SGMS1;SGMS2
C14:0 SM	HMDBCOMB039	C14:0 SM	HMDB0012085;HMDB0012097	B3GALT5;B3GAT1;B3GNT5;CD1A;CD1B;CD1C;CD1D;CD1E;DKFZp434L0435;ENPP7;GBA2;GBGT1;GLTP;GLTPD1;GLTPD2;GM2A;GPAA1;LBP;NPC2;PIGA;PIGB;PIGC;PIGF;PIGG;PIGH;PIGK;PIGL;PIGM;PIGN;PIGO;PIGP;PIGQ;PIGS;PIGT;PIGU;PIGV;PIGW;PIGX;PIGY;PIGZ;PLCD3;PLEKHA8;PLEKHA9;PSAP;SAMD8;SMPD1;SMPD2;SMPD3;SMPD4
C16:1 SM	HMDB0011694	SM(d16:1/24:1(15Z))		B3GALT5;B3GAT1;B3GNT5;CD1A;CD1B;CD1C;CD1D;CD1E;DKFZp434L0435;ENPP7;GBA2;GBGT1;GLTP;GLTPD1;GLTPD2;GM2A;GPAA1;LBP;NPC2;PIGA;PIGB;PIGC;PIGF;PIGG;PIGH;PIGK;PIGL;PIGM;PIGN;PIGO;PIGP;PIGQ;PIGS;PIGT;PIGU;PIGV;PIGW;PIGX;PIGY;PIGZ;PLCD3;PLEKHA8;PLEKHA9;PSAP;SAMD8;SMPD1;SMPD2;SMPD3;SMPD4
C16:0 SM	HMDBCOMB040	C16:0 SM	HMDB0010168;HMDB0010169	B3GALT5;B3GAT1;B3GNT5;CD1A;CD1B;CD1C;CD1D;CD1E;DKFZp434L0435;ENPP7;GBA2;GBGT1;GLTP;GLTPD1;GLTPD2;GM2A;GPAA1;LBP;NPC2;PIGA;PIGB;PIGC;PIGF;PIGG;PIGH;PIGK;PIGL;PIGM;PIGN;PIGO;PIGP;PIGQ;PIGS;PIGT;PIGU;PIGV;PIGW;PIGX;PIGY;PIGZ;PLCD3;PLEKHA8;PLEKHA9;PSAP;SAMD8;SGMS1;SGMS2;SMPD1;SMPD2;SMPD3;SMPD4
C18:2 SM	NA	C18:2 SM		
C18:1 SM	HMDBCOMB041	C18:1 SM	HMDB0001348;HMDB0010169;HMDB0011697;HMDB0011698;HMDB0012096;HMDB0012097;HMDB0012100;HMDB0012101;HMDB0012102;HMDB0012103;HMDB0012104;HMDB0012105;HMDB0012107	B3GALT5;B3GAT1;B3GNT5;CD1A;CD1B;CD1C;CD1D;CD1E;DKFZp434L0435;ENPP7;GBA2;GBGT1;GLTP;GLTPD1;GLTPD2;GM2A;GPAA1;LBP;NPC2;PIGA;PIGB;PIGC;PIGF;PIGG;PIGH;PIGK;PIGL;PIGM;PIGN;PIGO;PIGP;PIGQ;PIGS;PIGT;PIGU;PIGV;PIGW;PIGX;PIGY;PIGZ;PLCD3;PLEKHA8;PLEKHA9;PSAP;SAMD8;SGMS1;SGMS2;SMPD1;SMPD2;SMPD3;SMPD4
C18:0 SM	HMDBCOMB042	C18:0 SM	HMDB0010168;HMDB0012084;HMDB0012085;HMDB0012087;HMDB0012088;HMDB0012089;HMDB0012090;HMDB0012091;HMDB0012092;HMDB0012093;HMDB0012094;HMDB0012095;HMDB0013461;HMDB0013462;HMDB0013463;HMDB0013464;HMDB0013465;HMDB0013466;HMDB0013467;HMDB0013468;HMDB0013469	B3GALT5;B3GAT1;B3GNT5;CD1A;CD1B;CD1C;CD1D;CD1E;DKFZp434L0435;ENPP7;GBA2;GBGT1;GLTP;GLTPD1;GLTPD2;GM2A;GPAA1;LBP;NPC2;PIGA;PIGB;PIGC;PIGF;PIGG;PIGH;PIGK;PIGL;PIGM;PIGN;PIGO;PIGP;PIGQ;PIGS;PIGT;PIGU;PIGV;PIGW;PIGX;PIGY;PIGZ;PLCD3;PLEKHA8;PLEKHA9;PSAP;SAMD8;SGMS1;SGMS2;SMPD1;SMPD2;SMPD3;SMPD4
C22:1 SM	NA	C22:1 SM		
C22:0 SM	HMDBCOMB043	C22:0 SM	HMDB0012091;HMDB0012103	B3GALT5;B3GAT1;B3GNT5;CD1A;CD1B;CD1C;CD1D;CD1E;DKFZp434L0435;ENPP7;GBA2;GBGT1;GLTP;GLTPD1;GLTPD2;GM2A;GPAA1;LBP;NPC2;PIGA;PIGB;PIGC;PIGF;PIGG;PIGH;PIGK;PIGL;PIGM;PIGN;PIGO;PIGP;PIGQ;PIGS;PIGT;PIGU;PIGV;PIGW;PIGX;PIGY;PIGZ;PLCD3;PLEKHA8;PLEKHA9;PSAP;SAMD8;SMPD1;SMPD2;SMPD3;SMPD4
C24:1 SM	NA	C24:1 SM		
C24:0 SM	HMDBCOMB044	C24:0 SM	HMDB0011695;HMDB0011697;HMDB0012094	B3GALT5;B3GAT1;B3GNT5;CD1A;CD1B;CD1C;CD1D;CD1E;DKFZp434L0435;ENPP7;GBA2;GBGT1;GLTP;GLTPD1;GLTPD2;GM2A;GPAA1;LBP;NPC2;PIGA;PIGB;PIGC;PIGF;PIGG;PIGH;PIGK;PIGL;PIGM;PIGN;PIGO;PIGP;PIGQ;PIGS;PIGT;PIGU;PIGV;PIGW;PIGX;PIGY;PIGZ;PLCD3;PLEKHA8;PLEKHA9;PSAP;SAMD8;SMPD1;SMPD2;SMPD3;SMPD4
C34:2 DAG	HMDBCOMB045	C34:2 DAG	HMDB0007022;HMDB0007050;HMDB0007103;HMDB0007130;HMDB0007131;HMDB0007186;HMDB0007215;HMDB0007243;HMDB0007386;HMDB0007414;HMDB0055969;HMDB0056022;HMDB0056138;HMDB0056157;HMDB0056158	AGK;AKAP13;ARAF;ARHGAP29;ARHGEF2;AWAT1;AWAT2;BRAF;CDC42BPA;CDC42BPB;CDC42BPG;CDIPT;CDS1;CDS2;CEL;CHN1;CHN2;CHPT1;CIT;DAGLA;DAGLB;DEF8;DGAT1;DGAT2;DGAT2L6;DGAT2L7;DGKA;DGKB;DGKD;DGKE;DGKG;DGKH;DGKI;DGKK;DGKQ;DGKZ;GAL3ST1;GMIP;HMHA1;KSR1;KSR2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MOGAT1;MOGAT2;MOGAT3;MYO9A;MYO9B;PCYT1A;PDZD8;PGS1;PITPNM1;PLCB1;PLCB2;PLCB3;PLCB4;PLCD1;PLCD3;PLCD4;PLCE1;PLCG1;PLCG2;PLCH1;PLCH2;PLCZ1;PLEKHM1;PLEKHM1P;PLEKHM3;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;PPAP2A;PPAP2B;PPAP2C;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD2;PRKD3;RACGAP1;RAF1;RAPGEF2;RASGRP1;RASGRP2;RASGRP3;RASGRP4;RASSF1;RASSF5;RGNEF;ROCK1;ROCK2;SGMS1;SGMS2;SLC27A1;SNTG1;STAC;STAC2;STAC3;TENC1;TRPC3;TRPC6;TRPC7;UNC13A;UNC13B;UNC13B variant protein;UNC13C;VAV1;VAV2;VAV3
C34:1 DAG	HMDBCOMB046	C34:1 DAG	HMDB0007021;HMDB0007049;HMDB0007101;HMDB0007102;HMDB0007129;HMDB0007157;HMDB0007185;HMDB0007214;HMDB0007357;HMDB0007385;HMDB0055963;HMDB0056016;HMDB0056017;HMDB0056041;HMDB0056065	AGK;AKAP13;ARAF;ARHGAP29;ARHGEF2;AWAT1;AWAT2;BRAF;CDC42BPA;CDC42BPB;CDC42BPG;CDIPT;CDS1;CDS2;CEL;CHN1;CHN2;CHPT1;CIT;DAGLA;DAGLB;DEF8;DGAT1;DGAT2;DGAT2L6;DGAT2L7;DGKA;DGKB;DGKD;DGKE;DGKG;DGKH;DGKI;DGKK;DGKQ;DGKZ;GAL3ST1;GMIP;HMHA1;KSR1;KSR2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MOGAT1;MOGAT2;MOGAT3;MYO9A;MYO9B;PCYT1A;PDZD8;PGS1;PITPNM1;PLCB1;PLCB2;PLCB3;PLCB4;PLCD1;PLCD3;PLCD4;PLCE1;PLCG1;PLCG2;PLCH1;PLCH2;PLCZ1;PLEKHM1;PLEKHM1P;PLEKHM3;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;PPAP2A;PPAP2B;PPAP2C;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD2;PRKD3;RACGAP1;RAF1;RAPGEF2;RASGRP1;RASGRP2;RASGRP3;RASGRP4;RASSF1;RASSF5;RGNEF;ROCK1;ROCK2;SGMS1;SGMS2;SLC27A1;SNTG1;STAC;STAC2;STAC3;TENC1;TRPC3;TRPC6;TRPC7;UNC13A;UNC13B;UNC13B variant protein;UNC13C;VAV1;VAV2;VAV3
C36:2 DAG	HMDBCOMB047	C36:2 DAG	HMDB0007030;HMDB0007058;HMDB0007109;HMDB0007137;HMDB0007161;HMDB0007188;HMDB0007189;HMDB0007217;HMDB0007218;HMDB0007245;HMDB0007389;HMDB0007417;HMDB0007618;HMDB0007646;HMDB0055972;HMDB0056024;HMDB0056048;HMDB0056140;HMDB0056159;HMDB0056177;HMDB0056178;HMDB0056197	AGK;AKAP13;ARAF;ARHGAP29;ARHGEF2;AWAT1;AWAT2;BRAF;CDC42BPA;CDC42BPB;CDC42BPG;CDIPT;CDS1;CDS2;CEL;CHN1;CHN2;CHPT1;CIT;DAGLA;DAGLB;DEF8;DGAT1;DGAT2;DGAT2L6;DGAT2L7;DGKA;DGKB;DGKD;DGKE;DGKG;DGKH;DGKI;DGKK;DGKQ;DGKZ;GAL3ST1;GMIP;HMHA1;KSR1;KSR2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MOGAT1;MOGAT2;MOGAT3;MYO9A;MYO9B;PCYT1A;PDZD8;PGS1;PITPNM1;PLCB1;PLCB2;PLCB3;PLCB4;PLCD1;PLCD3;PLCD4;PLCE1;PLCG1;PLCG2;PLCH1;PLCH2;PLCZ1;PLEKHM1;PLEKHM1P;PLEKHM3;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;PPAP2A;PPAP2B;PPAP2C;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD2;PRKD3;RACGAP1;RAF1;RAPGEF2;RASGRP1;RASGRP2;RASGRP3;RASGRP4;RASSF1;RASSF5;RGNEF;ROCK1;ROCK2;SGMS1;SGMS2;SLC27A1;SNTG1;STAC;STAC2;STAC3;TENC1;TRPC3;TRPC6;TRPC7;UNC13A;UNC13B;UNC13B variant protein;UNC13C;VAV1;VAV2;VAV3
C36:1 DAG	HMDBCOMB048	C36:1 DAG	HMDB0007029;HMDB0007057;HMDB0007108;HMDB0007136;HMDB0007159;HMDB0007160;HMDB0007187;HMDB0007216;HMDB0007360;HMDB0007388;HMDB0007589;HMDB0007617;HMDB0055965;HMDB0056018;HMDB0056042;HMDB0056043;HMDB0056066;HMDB0056089	AGK;AKAP13;ARAF;ARHGAP29;ARHGEF2;AWAT1;AWAT2;BRAF;CDC42BPA;CDC42BPB;CDC42BPG;CDIPT;CDS1;CDS2;CEL;CHN1;CHN2;CHPT1;CIT;DAGLA;DAGLB;DEF8;DGAT1;DGAT2;DGAT2L6;DGAT2L7;DGKA;DGKB;DGKD;DGKE;DGKG;DGKH;DGKI;DGKK;DGKQ;DGKZ;GAL3ST1;GMIP;HMHA1;KSR1;KSR2;LIPA;LIPC;LIPE;LIPF;LIPG;LPL;MOGAT1;MOGAT2;MOGAT3;MYO9A;MYO9B;PCYT1A;PDZD8;PGS1;PITPNM1;PLCB1;PLCB2;PLCB3;PLCB4;PLCD1;PLCD3;PLCD4;PLCE1;PLCG1;PLCG2;PLCH1;PLCH2;PLCZ1;PLEKHM1;PLEKHM1P;PLEKHM3;PNLIP;PNLIPRP1;PNLIPRP2;PNLIPRP3;PNPLA2;PNPLA3;PNPLA4;PPAP2A;PPAP2B;PPAP2C;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD2;PRKD3;RACGAP1;RAF1;RAPGEF2;RASGRP1;RASGRP2;RASGRP3;RASGRP4;RASSF1;RASSF5;RGNEF;ROCK1;ROCK2;SGMS1;SGMS2;SLC27A1;SNTG1;STAC;STAC2;STAC3;TENC1;TRPC3;TRPC6;TRPC7;UNC13A;UNC13B;UNC13B variant protein;UNC13C;VAV1;VAV2;VAV3
C14:0 CE	HMDB0006725	CE(14:0)		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C16:1 CE	HMDB0000658	CE(16:1(9Z))		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C16:0 CE	HMDB0000885	CE(16:0)		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C18:3 CE	HMDBCOMB049	C18:3 CE	HMDB0010369;HMDB0010370	CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C18:2 CE	HMDB0000610	CE(18:2(9Z,12Z))		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C18:1 CE	HMDBCOMB050	C18:1 CE	HMDB0000918;HMDB0005189	CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
C18:0 CE	HMDB0010368	CE(18:0)		CEL;CES1;LCAT;LIPA;NCEH1;SCARB1;SOAT1;SOAT2
